hostname,num_stars,num_planets,orbital_period_mean,inner_orbit,outer_orbit,planet_radius_mean,planet_radius_std,planet_mass_mean,planet_mass_std,eccentricity_mean,stellar_temp,stellar_radius,stellar_mass,stellar_metallicity,log_orbital_period_mean,orbital_span,system_compactness,mass_to_radius_ratio,planet_per_star_ratio
GJ 179,1,1,2288.0,2.41,2.41,13.8,0.0,301.93698665,0.0,0.21,3370.0,0.38,0.357,0.3,3.3594560201209864,0.0,0.0,21.87949178623188,1.0
GJ 2030,1,2,12767.74741,0.034,16.761,7.165,7.2619866427858435,2036.962260465,2873.9574961293865,0.13999999999999999,5485.0,2.24104,0.96,-0.4,4.106114282251619,16.727,0.11956716685598134,284.29340690369855,2.0
GJ 2126,1,1,272.7,0.71,0.71,13.6,0.0,413.1769291,0.0,0.85,4159.0,0.728,0.65,0.6,2.43568513794163,0.0,0.0,30.38065655147059,1.0
GJ 251,1,2,33.942,0.0808,0.196,1.795,0.00707106781186556,3.865,0.021213203435596132,0.0,3342.0,0.36,0.35,0.07,1.5307374291240528,0.11520000000000001,17.36111111111111,2.1532033426183848,2.0
GJ 273,1,2,11.686599999999999,0.036467,0.091101,1.2850000000000001,0.3181980515339464,2.035,1.2091525958289966,0.135,3382.0,0.293,0.29,0.09,1.0676881795953264,0.054634,36.60724091225244,1.583657587548638,2.0
GJ 3021,2,1,133.71,0.49,0.49,13.1,0.0,1071.04,0.0,0.511,5540.0,0.9,0.9,0.1,2.1261638888058387,0.0,0.0,81.75877862595419,0.5
GJ 3090,1,2,9.396900989999999,0.0316,0.0997,2.66,0.6788225099390857,7.26,3.8749451609022807,0.125,3707.0,0.516,0.519,0.12,0.9729846509563189,0.0681,29.368575624082236,2.7293233082706765,2.0
GJ 3138,1,3,88.33134333333334,0.0197,0.698,2.0966666666666667,1.0420332688227059,5.486666666666667,4.5044570520023095,0.20666666666666667,3717.0,0.5,0.681,-0.3,1.9461148351897402,0.6782999999999999,4.422821760283061,2.6168521462639114,3.0
GJ 317,1,2,3597.8450000000003,1.138,5.04,13.45,0.21213203435596414,624.497311005,240.42010841662434,0.1498,3496.0,0.403,0.402,-0.02,3.5560424494223457,3.902,0.5125576627370579,46.43102684052045,2.0
GJ 3222,2,1,10.66669,0.091,0.091,3.4,0.0,11.44182265,0.0,0.929,5257.46,0.931389,0.89,0.16,1.0280296736183836,0.0,0.0,3.3652419558823534,0.5
GJ 328,1,2,2006.4,0.657,4.11,9.105,5.932625894155135,409.57465078499996,548.961855709587,0.227,3897.0,0.63,0.65,-0.06,3.3024175191506226,3.4530000000000003,0.5792064871126557,44.983487181219104,2.0
GJ 3293,1,4,53.651775,0.08208,0.36175,3.59,1.721084929145954,13.8775,9.951517053528402,0.125,3466.0,0.404,0.42,0.02,1.7295840946142451,0.27967000000000003,14.302570887116957,3.865598885793872,4.0
GJ 3323,1,2,22.9518,0.03282,0.1264,1.275,0.06363961030678941,2.165,0.2050609665440988,0.2,3159.0,0.119,0.164,-0.27,1.360816750849879,0.09358000000000001,21.372088053002777,1.6980392156862747,2.0
GJ 3341,1,1,14.207,0.089,0.089,2.46,0.0,6.6,0.0,0.31,3526.0,0.439,0.47,-0.09,1.1525023804611256,0.0,0.0,2.6829268292682924,1.0
GJ 338 B,2,1,24.422,0.142,0.142,3.25,0.0,10.6,0.0,0.109,4014.0,0.58,0.64,-0.03,1.387781226906038,0.0,0.0,3.2615384615384615,0.5
GJ 3470,1,1,3.3366496,0.0355,0.0355,4.57,0.0,13.9,0.0,0.017,3600.0,0.547,0.539,0.2,0.5233106013875942,0.0,0.0,3.0415754923413565,1.0
GJ 3473,2,2,8.35350175,0.01589,0.0876,1.947,0.9659078631008238,4.635,3.924442635585339,0.0,3347.0,0.364,0.36,0.11,0.9218685679270964,0.07171,27.89011295495747,2.380585516178736,1.0
GJ 3512,1,2,1278.5545,0.3376,1.731,14.3,0.0,145.24758200000002,1.797908977575773,0.25845,3141.0,0.139,0.123,-0.07,3.1067192451075987,1.3934000000000002,1.4353380221042054,10.157173566433567,2.0
GJ 367,1,3,15.407007499999999,0.00709,0.00709,1.6296666666666668,0.8395417400780817,3.5976666666666666,2.737596817161602,0.09666666666666668,3522.0,0.458,0.455,-0.01,1.1877182939785103,0.0,0.0,2.2076089179791367,3.0
GJ 3779,1,1,3.0232,0.026,0.026,2.75,0.0,8.0,0.0,0.07,3324.0,0.281,0.27,0.0,0.4804668789089581,0.0,0.0,2.909090909090909,1.0
